x,y,yDot,yDDot
-2.5,-1.8331025,6.0353537,-174.9173
-2.49,-1.7812502,4.3595724,-160.23933
-2.48,-1.7454219,2.8305702,-145.56136
-2.47,-1.7241496,1.4483479,-130.88338
-2.46,-1.7159657,0.21290514,-116.205414
-2.45,-1.7194023,-0.87575805,-101.527435
-2.44,-1.7329916,-1.8176417,-86.849464
-2.43,-1.7552658,-2.6127458,-72.17149
-2.42,-1.7847571,-3.2610703,-57.49352
-2.41,-1.8199979,-3.762615,-42.815548
-2.4,-1.8595202,-4.11738,-28.137573
-2.39,-1.9018562,-4.325366,-13.459601
-2.38,-1.9455382,-4.386572,1.2183715
-2.37,-1.9890993,-4.300995,15.896694
-2.36,-2.0310698,-4.0686383,30.574667
-2.35,-2.0699828,-3.689502,45.25264
-2.34,-2.1043704,-3.1635861,59.93061
-2.33,-2.132765,-2.490891,74.60858
-2.32,-2.153699,-1.6714159,89.28656
-2.31,-2.165704,-0.70516145,103.96453
-2.3,-2.1673129,0.40787268,118.6425
-2.29,-2.1572964,1.5778211,110.7974
-2.28,-2.1362042,2.6180594,97.25043
-2.27,-2.105387,3.5228279,83.703445
-2.26,-2.0661993,4.2921267,70.15646
-2.25,-2.019996,4.925956,56.60948
-2.24,-1.9681318,5.424315,43.0625
-2.23,-1.9119613,5.7872047,29.51552
-2.22,-1.8528394,6.014625,15.96854
-2.21,-1.7921206,6.1065755,2.4215593
-2.2,-1.7311596,6.063056,-11.125422
-2.19,-1.6712328,5.9177313,-15.0121565
-2.18,-1.612801,5.7691774,-14.698684
-2.17,-1.555839,5.623758,-14.385212
-2.16,-1.5003155,5.4814734,-14.071739
-2.15,-1.4461992,5.3423233,-13.758266
-2.14,-1.3934587,5.2063084,-13.444795
-2.13,-1.3420627,5.0734277,-13.131322
-2.12,-1.2919786,4.943679,-12.8178425
-2.11,-1.2431775,4.817068,-12.50437
-2.1,-1.1956269,4.693592,-12.190898
-2.09,-1.1493115,4.565072,-14.622022
-2.08,-1.1044635,4.3973927,-18.913816
-2.07,-1.0615069,4.1867957,-23.205614
-2.06,-1.0208707,3.9332812,-27.49741
-2.05,-0.98298436,3.6368482,-31.789206
-2.04,-0.9482769,3.2974975,-36.081
-2.03,-0.91717756,2.9152288,-40.3728
-2.02,-0.89011544,2.4900424,-44.664593
-2.01,-0.8675198,2.0219378,-48.95639
-2.0,-0.8498198,1.5109155,-53.248184
-1.99,-0.8374066,0.9800229,-48.226818
-1.98,-0.8297756,0.5703781,-33.702206
-1.97,-0.82551485,0.3059794,-19.177595
-1.96,-0.82317185,0.18682662,-4.6529827
-1.95,-0.8212942,0.21291983,9.87163
-1.94,-0.8184293,0.38425902,24.396242
-1.93,-0.8131248,0.7008488,38.92103
-1.92,-0.80392814,1.1626817,53.44564
-1.91,-0.789387,1.7697606,67.97025
-1.9,-0.7680488,2.5220854,82.494865
-1.89,-0.7385013,3.3890748,81.49358
-1.88,-0.70095074,4.0795746,56.606495
-1.87,-0.65773946,4.5212035,31.719404
-1.86,-0.6113563,4.713962,6.8323145
-1.85,-0.5642899,4.65785,-18.054775
-1.84,-0.51902896,4.352867,-42.941864
-1.83,-0.4780622,3.7990134,-67.82896
-1.82,-0.44387835,2.9962893,-92.71604
-1.81,-0.41896582,1.9446802,-117.60343
-1.8,-0.405814,0.64421177,-142.49052
-1.79,-0.40688512,-0.8784352,-149.15353
-1.78,-0.42250502,-2.183343,-111.82827
-1.77,-0.44930774,-3.1149986,-74.503006
-1.76,-0.48356077,-3.6734018,-37.17775
-1.75,-0.5215315,-3.8585527,0.14751334
-1.74,-0.5594876,-3.6704514,37.472775
-1.73,-0.59369636,-3.109098,74.798035
-1.72,-0.6204253,-2.1744921,112.1233
-1.71,-0.635942,-0.8666342,149.44856
-1.7,-0.63651377,0.81447613,186.77382
-1.69,-0.61841786,2.8538663,208.49574
-1.68,-0.58018684,4.718948,164.51651
-1.67,-0.5255046,6.1442184,120.53781
-1.66,-0.45876858,7.129702,76.55911
-1.65,-0.38437665,7.675399,32.58041
-1.64,-0.3067267,7.7813096,-11.3982935
-1.63,-0.23021656,7.4474335,-55.376995
-1.62,-0.15924412,6.6737704,-99.3557
-1.61,-0.098207235,5.4603214,-143.3344
-1.6,-0.051503755,3.8070853,-187.3131
-1.59,-0.023530597,1.7172153,-224.35605
-1.58,-0.017037619,-0.36475638,-192.0387
-1.57,-0.029748475,-2.123555,-159.72134
-1.56,-0.05843186,-3.5591953,-127.4036
-1.55,-0.099855326,-4.6716437,-95.08625
-1.54,-0.1507874,-5.4609184,-62.768894
-1.53,-0.20799635,-5.92702,-30.451542
-1.52,-0.26825044,-6.0699487,1.8658117
-1.51,-0.32831797,-5.889704,34.183167
-1.5,-0.38496718,-5.3862863,66.50052
-1.49,-0.43496633,-4.559695,98.81787
-1.48,-0.47562316,-3.5734124,98.10514
-1.47,-0.5064695,-2.597611,97.05534
-1.46,-0.52761036,-1.6323075,96.00554
-1.45,-0.5391506,-0.677502,94.955734
-1.44,-0.54119533,0.26680547,93.90594
-1.43,-0.53384936,1.200626,92.85612
-1.42,-0.5172178,2.1239374,91.80632
-1.41,-0.49140567,3.0367506,90.756516
-1.4,-0.45651788,3.939066,89.70671
-1.39,-0.4126594,4.830883,88.65691
-1.38,-0.36026353,5.6014233,62.68183
-1.37,-0.3016001,6.0827875,33.591133
-1.36,-0.23957758,6.2732453,4.5004354
-1.35,-0.177105,6.1727962,-24.590263
-1.34,-0.11709145,5.7814407,-53.68096
-1.33,-0.062445987,5.0991783,-82.77166
-1.32,-0.016077673,4.126009,-111.86236
-1.31,0.019104766,2.8619163,-140.9534
-1.3,0.0401914,1.3069303,-170.0441
-1.29,0.04427366,-0.5389624,-199.1348
-1.28,0.02903366,-2.4506574,-171.08379
-1.27,-0.0033031458,-3.9443188,-127.64879
-1.26,-0.04840481,-5.0036306,-84.2138
-1.25,-0.10192783,-5.628593,-40.77881
-1.24,-0.15952873,-5.819206,2.6561818
-1.23,-0.21686402,-5.5754695,46.09117
-1.22,-0.2695902,-4.8973837,89.52616
-1.21,-0.31336376,-3.7849479,132.96115
-1.2,-0.34384125,-2.238163,176.39615
-1.19,-0.35667914,-0.25702843,219.83113
-1.18,-0.34802493,1.9439487,200.79866
-1.17,-0.31933737,3.7143822,153.28838
-1.16,-0.275321,5.0097136,105.77811
-1.15,-0.22072688,5.829942,58.267838
-1.14,-0.16030596,6.175069,10.757564
-1.13,-0.09880928,6.0450935,-36.75271
-1.12,-0.040987875,5.440016,-84.262985
-1.11,0.008407252,4.3598356,-131.77325
-1.1,0.044625077,2.804553,-179.28352
-1.09,0.06291459,0.7741683,-226.7938
-1.08,0.058810428,-1.5850343,-224.36525
-1.07,0.032370705,-3.6400313,-186.63458
-1.06,-0.012733078,-5.31774,-148.90346
-1.05,-0.07272674,-6.6181197,-111.172775
-1.04,-0.14383766,-7.5411935,-73.4421
-1.03,-0.22229278,-8.086961,-35.71143
-1.02,-0.30431902,-8.255422,2.019245
-1.01,-0.38614336,-8.046576,39.74992
-1.0,-0.4639927,-7.4604235,77.48059
-0.99,-0.534094,-6.4969654,115.211266
-0.98,-0.59278077,-5.222126,125.74749
-0.97,-0.63902056,-4.0564427,107.38944
-0.96,-0.6745216,-3.0743341,89.03129
-0.95,-0.70111936,-2.2758121,70.67324
-0.94,-0.7206498,-1.6608707,52.315193
-0.93,-0.7349487,-1.2295094,33.957146
-0.92,-0.7458519,-0.9817284,15.599097
-0.91,-0.75519514,-0.91752774,-2.7589502
-0.9,-0.7648144,-1.0369086,-21.117107
-0.89,-0.7765453,-1.3398696,-39.475155
-0.88,-0.7922038,-1.8108412,-49.720528
-0.87,-0.8127519,-2.2941582,-46.942974
-0.86,-0.83799434,-2.7496998,-44.16542
-0.85,-0.86765325,-3.1774657,-41.387863
-0.84,-0.9014512,-3.5774586,-38.610294
-0.83,-0.93911,-3.9496734,-35.832737
-0.82,-0.980352,-4.2941127,-33.055183
-0.81,-1.0248996,-4.6107764,-30.277628
-0.8,-1.0724748,-4.8996644,-27.500072
-0.79,-1.1228001,-5.160777,-24.722519
-0.78,-1.1755949,-5.3908043,-19.60322
-0.77,-1.2302988,-5.5315504,-8.546076
-0.76,-1.2858572,-5.5617256,2.5110674
-0.75,-1.3411646,-5.4813294,13.568211
-0.74,-1.3951151,-5.2903614,24.625355
-0.73,-1.4466032,-4.9888225,35.6825
-0.72,-1.4945229,-4.576712,46.73964
-0.71,-1.537769,-4.054027,57.796852
-0.7,-1.5752351,-3.4207737,68.854
-0.69,-1.6058159,-2.6769488,79.91114
-0.68,-1.628408,-1.8266678,86.44139
-0.67,-1.6425833,-1.0314586,72.60059
-0.66,-1.6494985,-0.37465736,58.75979
